gene_id,c1,c2,c3,cd1,cd2,cu1,cu2
NIS_RS10240,0,0,0,0,0,0,0
NIS_RS10290,0,0,0,0,0,0,0
NIS_RS10220,0,0,0,0,0,0,0
NIS_RS10295,0,0,0,0,0,0,0
NIS_RS00005,2266,847,2661,1038,876,1316,777
NIS_RS00010,5686,1799,4185,1503,1372,2642,1300
NIS_RS00015,13185,4520,9802,4492,3439,11633,5309
NIS_RS00020,3002,631,1275,694,613,1462,305
NIS_RS00025,1073,327,963,339,262,676,267
NIS_RS00030,1932,530,1136,340,313,2267,1062
NIS_RS00035,885,231,441,169,180,655,229
NIS_RS00040,155,34,91,17,18,58,59
NIS_RS00045,3229,1024,1863,1408,1074,1897,877
NIS_RS00050,1161,578,1161,658,482,410,214
NIS_RS00055,12314,2541,5709,1444,1243,3639,1567
NIS_RS00060,6853,1411,3084,655,518,3016,898
NIS_RS00065,4266,4757,6674,4739,3776,12125,4039
NIS_RS00070,1814,2826,3077,2235,1969,4727,1931
NIS_RS00075,2235,2805,3923,2239,1731,4859,1579
NIS_RS00080,2643,3346,5517,4287,3602,10286,1773
NIS_RS00085,8753,13578,18673,19860,15644,17041,4292
NIS_RS00090,3284,1458,2978,1514,1174,718,255
NIS_RS00095,788,132,405,22,24,145,109
NIS_RS00100,1424,303,924,129,79,354,224
NIS_RS00105,5151,1662,5169,1755,1356,1403,1150
NIS_RS00110,9558,10597,24496,8767,6344,40027,23153
NIS_RS00115,4483,4298,10053,2788,2148,47231,11924
NIS_RS00120,2823,4405,6872,680,555,55950,9501
NIS_RS00125,253,151,181,72,55,1046,309
NIS_RS00130,155,285,356,54,71,257,206
NIS_RS00135,357,662,986,117,94,802,738
NIS_RS00140,650,290,536,435,304,2904,348
NIS_RS00145,1105,473,1305,1895,1478,5965,1888
NIS_RS00150,452,249,1016,986,867,2229,1079
NIS_RS00155,788,495,2246,2074,1720,3357,1785
NIS_RS00160,888,508,2620,4076,3201,1953,2234
NIS_RS00165,920,363,1526,2349,1748,1486,474
NIS_RS00170,3977,735,1699,972,817,2723,6218
NIS_RS00175,745,133,262,208,114,593,1161
NIS_RS00180,392,81,117,60,55,382,802
NIS_RS00185,312,48,77,53,32,222,315
NIS_RS00190,474,132,154,128,76,327,431
NIS_RS00195,1386,500,1242,307,259,489,243
NIS_RS00200,2826,854,3053,616,456,830,460
NIS_RS00205,3548,804,2709,450,308,1581,481
NIS_RS00210,2004,798,2116,905,572,869,365
NIS_RS00215,583,184,497,195,126,820,498
NIS_RS00220,257,135,279,104,72,555,326
NIS_RS00225,34813,10141,29701,4702,4123,30639,11786
NIS_RS00230,7421,2831,8559,1698,1235,3985,1403
NIS_RS00235,705,95,283,52,31,423,282
NIS_RS00240,1823,388,1000,241,157,1903,1120
NIS_RS00245,6475,2434,6802,2234,1984,8442,6142
NIS_RS00250,750,226,548,276,177,246,101
NIS_RS00255,2960,851,1805,544,449,2339,1721
NIS_RS00260,16473,5331,12713,2979,2631,23601,24556
NIS_RS00265,519,188,209,50,33,770,393
NIS_RS00270,613,161,233,69,39,673,382
NIS_RS00275,1466,636,774,388,307,1276,779
NIS_RS00280,8897,4248,6200,1505,1048,17666,8530
NIS_RS00285,16915,7110,19070,7105,5864,24708,12383
NIS_RS00290,508,140,415,187,163,259,108
NIS_RS00295,1320,332,523,159,144,1524,644
NIS_RS00300,1711,513,830,424,314,2468,1183
NIS_RS00305,792,299,676,264,291,1911,933
NIS_RS00310,1357,344,1036,675,537,1737,882
NIS_RS00315,939,316,673,403,305,343,183
NIS_RS00320,17307,7944,12198,12399,11407,8824,6840
NIS_RS00325,7412,3439,6888,3800,3006,23804,14445
NIS_RS00330,2082,895,1279,822,630,7709,3121
NIS_RS00335,1371,579,859,481,417,4026,1550
NIS_RS00340,3869,1592,3050,1413,1281,5636,1894
NIS_RS00345,2309,1145,2074,647,706,8218,3740
NIS_RS00350,6076,3134,6914,11174,8835,19144,4503
NIS_RS00355,5044,2196,6336,1098,1086,2653,813
NIS_RS00360,1148,377,897,338,219,905,444
NIS_RS00365,961,321,930,283,236,746,473
NIS_RS00370,4289,2310,4224,1776,1567,2165,2020
NIS_RS00375,532,200,435,143,124,366,208
NIS_RS00380,5104,1186,3785,2516,2222,8594,3069
NIS_RS00385,6309,1668,3654,1879,1761,12497,5683
NIS_RS00390,3949,999,1630,797,722,8159,4214
NIS_RS00395,8639,1782,2447,997,868,12179,5699
NIS_RS00400,1800,511,593,282,195,1549,703
NIS_RS00405,1839,282,369,101,67,1509,460
NIS_RS00410,759,108,154,34,17,325,93
NIS_RS00415,503,57,90,25,18,376,234
NIS_RS00420,405,38,39,22,30,339,125
NIS_RS00425,573,101,104,27,26,617,280
NIS_RS00430,531,90,131,39,34,489,145
NIS_RS00435,231,28,77,19,14,201,54
NIS_RS00440,208,19,57,25,9,60,31
NIS_RS00445,781,110,170,80,40,256,93
NIS_RS09895,758,122,198,76,101,662,332
NIS_RS00460,162,24,33,25,7,87,54
NIS_RS00465,213,33,54,60,32,109,33
NIS_RS00470,935,254,703,337,270,883,353
NIS_RS00475,245,106,161,73,55,210,103
NIS_RS00480,1132,264,470,147,94,852,300
NIS_RS00485,384,93,141,33,28,137,65
NIS_RS00490,242,68,60,25,35,183,91
NIS_RS00495,1033,254,346,128,90,1037,335
NIS_RS00500,1433,624,1225,572,511,524,205
NIS_RS00505,712,158,399,160,137,778,182
NIS_RS00510,1051,329,698,381,382,1264,389
NIS_RS00515,8168,3766,6866,4008,3350,9901,5524
NIS_RS00520,1193,564,1127,771,544,635,287
NIS_RS00525,11944,5529,19976,5342,3953,17636,5084
NIS_RS00530,5371,2160,7220,1410,1144,11051,2286
NIS_RS00535,6715,2642,6177,2541,1889,12848,4040
NIS_RS00540,10539,4110,9077,4596,3498,18948,8134
NIS_RS00545,7791,1395,6661,1553,1412,6341,3643
NIS_RS00550,20442,4893,16717,10483,8361,9951,7777
NIS_RS00555,3983,1381,3316,2400,1687,4524,2510
NIS_RS00560,766,181,508,258,198,491,121
NIS_RS00565,18,3,12,7,5,4,1
NIS_RS00570,18091,5069,17394,4634,3989,9175,4761
NIS_RS00575,5711,1841,4417,1086,960,5810,1883
NIS_RS00580,14348,4038,14115,3651,3452,10945,7309
NIS_RS00585,27887,7295,26469,6287,5360,20425,11918
NIS_RS00590,2102,312,734,259,201,762,323
NIS_RS00595,3877,318,561,122,135,704,321
NIS_RS10170,4837,242,374,57,50,519,491
NIS_RS00605,17691,1279,3001,359,234,2105,2382
NIS_RS00610,16352,1439,2883,267,330,670,919
NIS_RS00615,5249,683,1172,355,236,804,371
NIS_RS00620,42604,6104,10847,2663,2297,4296,1935
NIS_RS00625,17691,17767,39207,26186,22397,22784,6951
NIS_RS00630,25487,10269,21127,5328,4897,17507,8782
NIS_RS00635,5620,3347,4066,1417,1015,3402,1810
NIS_RS00640,2590,1008,1728,560,407,4002,1191
NIS_RS00645,1500,834,1104,606,438,3790,1165
NIS_RS00650,5367,941,1214,438,322,2986,1879
NIS_RS00655,849,378,532,304,262,1729,608
NIS_RS00660,6304,3205,6090,4454,3488,9256,4880
NIS_RS00665,4191,1291,3661,2390,1285,341,661
NIS_RS00670,6727,2538,7453,4324,2740,541,863
NIS_RS00675,2447,1347,3413,2159,1605,251,340
NIS_RS00680,1634,995,2436,1502,1196,203,253
NIS_RS00685,144,42,110,135,99,7,17
NIS_RS10125,1037,141,590,918,791,526,240
NIS_RS00690,3091,735,2203,2525,2282,3415,1247
NIS_RS00695,2409,694,1301,328,308,2886,1433
NIS_RS00700,930,269,524,175,119,1346,709
NIS_RS00705,3833,1383,3330,1181,982,4945,2800
NIS_RS00710,443,146,384,93,83,263,104
NIS_RS00715,1174,318,1032,374,321,979,365
NIS_RS00720,3058,1189,1772,1022,789,2185,1527
NIS_RS00725,3257,1635,6191,972,782,14566,7470
NIS_RS09900,2020,574,1288,522,548,7714,1041
NIS_RS09905,1821,570,1094,412,339,1546,365
NIS_RS00740,50,10,26,12,18,32,14
NIS_RS00745,4943,1075,3204,2306,1861,1562,945
NIS_RS00750,9420,2580,6993,4730,4355,3254,2192
NIS_RS00755,1727,784,1812,887,697,594,292
NIS_RS00760,1705,768,1472,1011,863,395,335
NIS_RS00765,4551,2408,4935,2435,2022,11841,7748
NIS_RS00770,1693,555,1511,628,482,3130,1884
