GO,evidence,isoform
GO:0007155; GO:0030001; GO:0046872,ISS,fig|387092.6.peg.26|NIS_0024
GO:0030001; GO:0046872,ISS,fig|387092.6.peg.362|NIS_0350
GO:0005887; GO:0042626; GO:0043190; GO:0055085,ISS,fig|387092.6.peg.25|NIS_0023
GO:0005887; GO:0042626; GO:0043190; GO:0055085,ISS,fig|387092.6.peg.360|NIS_0348
GO:0005524; GO:0016887,ISS,fig|387092.6.peg.361|NIS_0349
,ISS,fig|387092.6.peg.1771|NIS_1694
GO:0000310; GO:0009116,ISS,fig|387092.6.peg.686|NIS_0649
GO:0004672; GO:0005524; GO:0006468,ISS,fig|387092.6.peg.206|NIS_0193
GO:0008483,ISS,fig|387092.6.peg.1088|NIS_1044
GO:0005247; GO:0005886; GO:0016021; GO:1902476,ISS,fig|387092.6.peg.91|NIS_0086
GO:0002161; GO:0004832; GO:0005524; GO:0005737; GO:0006438; GO:0106074,ISS,fig|387092.6.peg.1056|NIS_1013
GO:0003677; GO:0003678; GO:0004527; GO:0005524; GO:0006281; GO:0032508; GO:0090305,ISS,fig|387092.6.peg.378|NIS_0366
GO:0003983; GO:0006011; GO:0009058,ISS,fig|387092.6.peg.589|NIS_0555
GO:0004852; GO:0006780; GO:0006782,ISS,fig|387092.6.peg.1407|NIS_1338
GO:0008168; GO:0019354; GO:0032259; GO:0055114,ISS,fig|387092.6.peg.1873|NIS_1790
GO:0004853; GO:0005737; GO:0006782,ISS,fig|387092.6.peg.515|NIS_0486
GO:0005524; GO:0005737; GO:0016310; GO:0033862; GO:0044210; GO:0046940,ISS,fig|387092.6.peg.798|NIS_0758
GO:0016818; GO:0046872,ISS,fig|387092.6.peg.357|NIS_0345
GO:0000166; GO:0008655; GO:0016757; GO:0055086; GO:0072528; GO:1901135,ISS,fig|387092.6.peg.1847|NIS_1764
,ISS,fig|387092.6.peg.725|NIS_0687
GO:0008901; GO:0009375; GO:0051536; GO:0055114,ISS,fig|387092.6.peg.1003|NIS_0961
GO:0006508; GO:0008237; GO:0046872,ISS,fig|387092.6.peg.1787|NIS_1708
GO:0005886; GO:0016021,ISS,fig|387092.6.peg.180|NIS_0168
,ISS,fig|387092.6.peg.1012|NIS_0970
,ISS,fig|387092.6.peg.895|NIS_0855
,ISS,fig|387092.6.peg.1441|NIS_1373
GO:0003676; GO:0004518; GO:0090305,ISS,fig|387092.6.peg.1625|NIS_1551
,ISS,fig|387092.6.peg.138|NIS_0129
GO:0016021; GO:0016740,ISS,fig|387092.6.peg.1476|NIS_1405
GO:0000287; GO:0004659,ISS,fig|387092.6.peg.1157|NIS_1105
,ISS,fig|387092.6.peg.1491|NIS_1420
GO:0001522; GO:0003723; GO:0004730; GO:0009982,ISS,fig|387092.6.peg.1580|NIS_1506
GO:0001522; GO:0003723; GO:0004730; GO:0009982,ISS,fig|387092.6.peg.58|NIS_0055
GO:0003824,ISS,fig|387092.6.peg.1169|NIS_1117
GO:0016740,ISS,fig|387092.6.peg.1182|NIS_1130
,ISS,fig|387092.6.peg.1148|NIS_1096
GO:0003824,ISS,fig|387092.6.peg.789|NIS_0749
GO:0004176; GO:0004252; GO:0005524; GO:0006508; GO:0030163,ISS,fig|387092.6.peg.790|NIS_0750
,ISS,fig|387092.6.peg.836|NIS_0795
,ISS,fig|387092.6.peg.1128|NIS_1079
,ISS,fig|387092.6.peg.1032|NIS_0990
GO:0009116,ISS,fig|387092.6.peg.453|NIS_0437
GO:0016021; GO:0046872,ISS,fig|387092.6.peg.369|NIS_0357
,ISS,fig|387092.6.peg.337|NIS_0325
,ISS,fig|387092.6.peg.1934|NIS_1848
GO:0003700; GO:0004386; GO:0006355,ISS,fig|387092.6.peg.1784|NIS_1705
GO:0016021; GO:0035438,ISS,fig|387092.6.peg.674|NIS_0639
GO:0006508; GO:0008233,ISS,fig|387092.6.peg.1590|NIS_1516
,ISS,fig|387092.6.peg.724|NIS_0686
GO:0016021; GO:0022857; GO:0055085,ISS,fig|387092.6.peg.1708|NIS_1631
GO:0016021; GO:0055085,ISS,fig|387092.6.peg.1805|NIS_1724
GO:0006259; GO:0016888,ISS,fig|387092.6.peg.814|NIS_0774
GO:0016021,ISS,fig|387092.6.peg.29|NIS_0027
GO:0016021,ISS,fig|387092.6.peg.946|NIS_0906
GO:0016021,ISS,fig|387092.6.peg.706|NIS_0669
GO:0016021,ISS,fig|387092.6.peg.872|NIS_0832
GO:0016021; GO:0055085,ISS,fig|387092.6.peg.1131|NIS_1082
GO:0009306; GO:0016020,ISS,fig|387092.6.peg.1263
,ISS,fig|387092.6.peg.1236
,ISS,fig|387092.6.peg.423|NIS_0409
GO:0016021; GO:0022857; GO:0055085,ISS,fig|387092.6.peg.10|NIS_0009
GO:0016021; GO:0022857; GO:0055085,ISS,fig|387092.6.peg.831|NIS_0790
GO:0016021; GO:0022857; GO:0055085,ISS,fig|387092.6.peg.1828|NIS_1745
GO:0006807; GO:0016787,ISS,fig|387092.6.peg.1333|NIS_1274
GO:0004672; GO:0005524; GO:0006468; GO:0016021,ISS,fig|387092.6.peg.1207|NIS_1154
GO:0018580; GO:0051213; GO:0055114,ISS,fig|387092.6.peg.802|NIS_0762
GO:0005524; GO:0009058; GO:0016021; GO:0047480,ISS,fig|387092.6.peg.1143|NIS_1093
GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008764; GO:0009252; GO:0009396; GO:0051301; GO:0071555,ISS,fig|387092.6.peg.324|NIS_0311
GO:0000287; GO:0004326; GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008765; GO:0009252; GO:0046901; GO:0051301; GO:0071555,ISS,fig|387092.6.peg.267|NIS_0253
GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008763; GO:0009252; GO:0051301; GO:0071555,ISS,fig|387092.6.peg.1325|NIS_1266
GO:0005886; GO:0005975; GO:0007049; GO:0008360; GO:0009252; GO:0030259; GO:0050511; GO:0051301; GO:0051991; GO:0071555,ISS,fig|387092.6.peg.1605|NIS_1531
GO:0016021; GO:0016829,ISS,fig|387092.6.peg.1306|NIS_1247
GO:0008761,ISS,fig|387092.6.peg.1318|NIS_1259
GO:0005737; GO:0007049; GO:0008360; GO:0008760; GO:0009252; GO:0019277; GO:0051301; GO:0071555,ISS,fig|387092.6.peg.999|NIS_0957
GO:0005737; GO:0007049; GO:0008360; GO:0008762; GO:0009252; GO:0050660; GO:0051301; GO:0055114; GO:0071555,ISS,fig|387092.6.peg.1739|NIS_1661
GO:0000271; GO:0016616; GO:0016628; GO:0051287; GO:0055114,ISS,fig|387092.6.peg.297|NIS_0283
