"","ensgenes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","annotation","protein_id","deleteok","gen_acr","old_locus","Description","GO.IDs","GO.Names","Enzyme.Codes","Enzyme.Names","InterPro.IDs","InterPro.GO.IDs","InterPro.GO.Names"
"1","NIS_RS00005",1306.37506184946,-0.561625148715013,0.3248013035651,-1.72913452794208,0.0837850208056454,0.150889205650894,1509,"  chromosomal replication initiator protein DnaA","  WP_011979545.1"," transl_table 11","  dnaA","NIS_0001","chromosomal replication initiator protein DnaA","F:GO:0003688; F:GO:0005524; C:GO:0005737; P:GO:0006270; P:GO:0006275","F:DNA replication origin binding; F:ATP binding; C:cytoplasm; P:DNA replication initiation; P:regulation of DNA replication","","",NA,NA,NA
"2","NIS_RS00010",2315.76543108861,-0.690336229384722,0.27089516910043,-2.54835193878556,0.0108233219779183,0.0278816655894097,1,"  DNA polymerase III subunit beta","  WP_011979546.1"," transl_table 11"," ","NIS_0002","DNA polymerase III subunit beta","F:GO:0003677; F:GO:0003887; C:GO:0005737; P:GO:0006260; F:GO:0008408; C:GO:0009360; P:GO:0071897; P:GO:0090305","F:DNA binding; F:DNA-directed DNA polymerase activity; C:cytoplasm; P:DNA replication; F:3'-5' exonuclease activity; C:DNA polymerase III complex; P:DNA biosynthetic process; P:nucleic acid phosphodiester bond hydrolysis","EC:2.7.7.7","DNA-directed DNA polymerase",NA,NA,NA
"3","NIS_RS00015",6634.82872551653,0.140229073230351,0.262643588151699,0.533913941007222,0.593401076348787,0.694756224732238,1510,"  DNA topoisomerase (ATP-hydrolyzing) subunit B","  WP_011979547.1"," transl_table 11","  gyrB","NIS_0003","DNA topoisomerase (ATP-hydrolyzing) subunit B","F:GO:0003677; F:GO:0003918; F:GO:0005524; C:GO:0005694; C:GO:0005737; P:GO:0006261; P:GO:0006265; F:GO:0046872","F:DNA binding; F:DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity; F:ATP binding; C:chromosome; C:cytoplasm; P:DNA-dependent DNA replication; P:DNA topological change; F:metal ion binding","EC:3.6.1.3; EC:5.6.2.2; EC:3.6.1.15","Adenosinetriphosphatase; n/a; Nucleoside-triphosphate phosphatase",NA,NA,NA
"4","NIS_RS00020",962.206800929099,-0.707169173254423,0.430437039094025,-1.64290966860765,0.100401624284598,0.17585819425976,2,"  GGDEF domain-containing protein","  WP_011979548.1"," transl_table 11"," ","NIS_0004","GGDEF domain-containing protein","C:GO:0016021","C:integral component of membrane","","",NA,NA,NA
"5","NIS_RS00025",483.346225177849,-0.489879586087956,0.316961424870112,-1.5455495453073,0.122213394480642,0.205173503784874,1511,"  NADPH-dependent 7-cyano-7-deazaguanine reductase QueF","  WP_011979549.1"," transl_table 11","  queF","NIS_0005","NADPH-dependent 7-cyano-7-deazaguanine reductase QueF","C:GO:0005737; P:GO:0008616; F:GO:0033739; F:GO:0046857; P:GO:0055114","C:cytoplasm; P:queuosine biosynthetic process; F:preQ1 synthase activity; F:oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor; P:oxidation-reduction process","EC:1.7.1.13","PreQ(1) synthase",NA,NA,NA
"6","NIS_RS00030",885.184071365252,0.776459768303189,0.298573776158151,2.60056250851685,0.0093071061454937,0.0246457137077255,3,"  FAD-dependent oxidoreductase","  WP_011979550.1"," transl_table 11"," ","NIS_0006","succinate dehydrogenase","F:GO:0016491; P:GO:0055114","F:oxidoreductase activity; P:oxidation-reduction process","","",NA,NA,NA
"7","NIS_RS00035",332.397888832176,0.0120042855478157,0.359671368543385,0.0333757051511531,0.973374983347342,0.983001831277514,4,"  EAL domain-containing protein","  WP_011979551.1"," transl_table 11"," ","NIS_0007","EAL domain-containing protein","F:GO:0016301; P:GO:0016310","F:kinase activity; P:phosphorylation","","",NA,NA,NA
"8","NIS_RS00040",49.7033069487386,-0.15545169306917,0.523503580692395,-0.296944851577837,0.766508613040309,0.836152842749368,5,"  hypothetical protein","  WP_041353939.1"," transl_table 11"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","NIS_RS00045",1549.292843973,-0.287446000143461,0.288538125615321,-0.996214969964434,0.319145707356756,0.435418489169237,6,"  DEAD/DEAH box helicase family protein","  WP_011979552.1"," transl_table 11"," ","NIS_0008","circadian clock protein KaiC","F:GO:0005524","F:ATP binding","","",NA,NA,NA
"10","NIS_RS00050",663.855244590019,-1.41754910386787,0.308404490072926,-4.596395803228,4.29861782749503e-06,3.75134886179192e-05,7,"  amino acid permease","  WP_083754337.1"," transl_table 11"," ","NIS_0009","amino acid permease","C:GO:0016021; F:GO:0022857; P:GO:0055085","C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport","","",NA,NA,NA
