"","ensgenes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","annotation","protein_id","deleteok","gen_acr","old_locus","Description","GO.IDs","GO.Names","Enzyme.Codes","Enzyme.Names","InterPro.IDs","InterPro.GO.IDs","InterPro.GO.Names"
"22","NIS_RS00110",16260.4440680152,1.22125601174295,0.457954461079568,2.6667629983645,0.00765856582780097,0.0212487659732125,18,"  hypothetical protein","  WP_041353940.1"," transl_table 11"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","NIS_RS00115",9415.44016907377,2.19577587236004,0.462869885370661,4.74382961985459,2.09715256244457e-06,1.9596505783975e-05,19,"  gluconate 2-dehydrogenase subunit 3 family protein","  WP_011979565.1"," transl_table 11"," ","NIS_0021","gluconate 2-dehydrogenase subunit 3 family protein","","","","",NA,NA,NA
"24","NIS_RS00120",8376.02502210738,2.56920760619545,0.552606108543246,4.64925661601583,3.33133528329588e-06,2.98614262271907e-05,20,"  GMC family oxidoreductase","  WP_011979566.1"," transl_table 11"," ","NIS_0022","GMC family oxidoreductase","F:GO:0016614; F:GO:0050660; P:GO:0055114","F:oxidoreductase activity, acting on CH-OH group of donors; F:flavin adenine dinucleotide binding; P:oxidation-reduction process","","",NA,NA,NA
"25","NIS_RS00125",238.282221770091,1.81586816826822,0.400077681031401,4.53878897614811,5.65782207766805e-06,4.70930484700017e-05,21,"  metal ABC transporter permease","  WP_011979567.1"," transl_table 11"," ","NIS_0023","manganese transporter","C:GO:0005887; F:GO:0042626; C:GO:0043190; P:GO:0055085","C:integral component of plasma membrane; F:ATPase-coupled transmembrane transporter activity; C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport","","",NA,NA,NA
"28","NIS_RS00140",648.91645326845,1.66374831854237,0.491482396654173,3.38516359867319,0.000711358436031234,0.00288770709380712,24,"  arsenic transporter","  WP_011979570.1"," transl_table 11"," ","NIS_0026","arsenic transporter","C:GO:0005886; F:GO:0015105; P:GO:0015700; C:GO:0016021; P:GO:0046685","C:plasma membrane; F:arsenite transmembrane transporter activity; P:arsenite transport; C:integral component of membrane; P:response to arsenic-containing substance","","",NA,NA,NA
"29","NIS_RS00145",2011.9422730294,2.16982864055054,0.338165848457392,6.41646295877785,1.39476866252978e-10,4.55460043927052e-09,25,"  permease","  WP_011979571.1"," transl_table 11"," ","NIS_0027","permease","C:GO:0016021","C:integral component of membrane","","",NA,NA,NA
"30","NIS_RS00150",1040.16601251252,1.76157684805893,0.43261570413468,4.07192071675357,4.66270514428826e-05,0.000286857729529039,26,"  TM0996/MTH895 family glutaredoxin-like protein","  WP_011979572.1"," transl_table 11"," ","NIS_0028","thioredoxin family protein","","","","",NA,NA,NA
"31","NIS_RS00155",1952.54020352391,1.37725772233653,0.473875996917729,2.90636734355557,0.00365651904842895,0.0114613358147749,27,"  arsenate reductase ArsC","  WP_011979573.1"," transl_table 11"," ","NIS_0029","arsenate reductase ArsC","F:GO:0004725; F:GO:0008794; P:GO:0035335; P:GO:0055114","F:protein tyrosine phosphatase activity; F:arsenate reductase (glutaredoxin) activity; P:peptidyl-tyrosine dephosphorylation; P:oxidation-reduction process","EC:1.20.4.1; EC:3.1.3.16; EC:3.1.3.48; EC:1.20.4","Arsenate reductase (glutaredoxin); Protein-serine/threonine phosphatase; Protein-tyrosine-phosphatase; Acting on phosphorus or arsenic in donors",NA,NA,NA
"34","NIS_RS00170",2358.05365513775,1.82465534925073,0.540356659597223,3.37676110184486,0.000733447227518563,0.00296522236268219,29,"  NAD(P)/FAD-dependent oxidoreductase","  WP_011979576.1"," transl_table 11"," ","NIS_0032","NAD(P)/FAD-dependent oxidoreductase","F:GO:0016491; F:GO:0050660; P:GO:0055114","F:oxidoreductase activity; F:flavin adenine dinucleotide binding; P:oxidation-reduction process","","",NA,NA,NA
"35","NIS_RS00175",437.127983279629,1.94075341029523,0.553976572341385,3.50331314931356,0.000459508911098391,0.00202736559662787,30,"  Rieske 2Fe-2S domain-containing protein","  WP_011979577.1"," transl_table 11"," ","NIS_0033","sulfur oxidation protein","F:GO:0016679; F:GO:0051537; P:GO:0055114","F:oxidoreductase activity, acting on diphenols and related substances as donors; F:2 iron, 2 sulfur cluster binding; P:oxidation-reduction process","","",NA,NA,NA
"36","NIS_RS00180",256.189546297657,2.30714953244117,0.573521651578588,4.02277669219787,5.75160236536722e-05,0.000339104889458109,31,"  thiosulfate oxidation carrier protein SoxY","  WP_011979578.1"," transl_table 11"," ","NIS_0034","sulfur oxidation protein SoxY","F:GO:0005506; F:GO:0016491; P:GO:0055114","F:iron ion binding; F:oxidoreductase activity; P:oxidation-reduction process","","",NA,NA,NA
"37","NIS_RS00185",133.5283845928,1.5708845404834,0.580532254709253,2.70593843449775,0.0068111671999712,0.0193537903184888,32,"  thiosulfate oxidation carrier complex protein SoxZ","  WP_011979579.1"," transl_table 11"," ","NIS_0035","thiosulfate oxidation carrier complex protein SoxZ","","","","",NA,NA,NA
"44","NIS_RS00220",218.284532218971,1.21694892511867,0.349571278572712,3.48126118967046,0.000499058583025103,0.00216331521438234,39,"  YeeE/YedE family protein","  WP_011979586.1"," transl_table 11"," ","NIS_0042","YeeE/YedE family protein","C:GO:0016021","C:integral component of membrane","","",NA,NA,NA
"52","NIS_RS00260",11059.1609134405,1.5439267616933,0.364166712184998,4.23961529166066,2.23903175655715e-05,0.000151619694995022,46,"  hypothetical protein","  WP_011979592.1"," transl_table 11"," ","NIS_0049","hypothetical protein","","","","",NA,NA,NA
"53","NIS_RS00265",245.326184694614,1.18088063219701,0.389867775018252,3.02892597917774,0.00245424807451206,0.00832511204727464,47,"  SDR family NAD(P)-dependent oxidoreductase","  WP_011979593.1"," transl_table 11"," ","NIS_0050","SDR family oxidoreductase","F:GO:0016491; P:GO:0055114","F:oxidoreductase activity; P:oxidation-reduction process","","",NA,NA,NA
"54","NIS_RS00270",245.05895539401,1.00655679827815,0.399849612492926,2.51733843632513,0.0118245186474889,0.0301471961913455,1515,"  peptide-methionine (R)-S-oxide reductase MsrB","  WP_148164048.1"," transl_table 11","  msrB","NIS_0051","peptide-methionine (R)-S-oxide reductase","P:GO:0006979; F:GO:0008270; P:GO:0030091; F:GO:0033743; P:GO:0055114","P:response to oxidative stress; F:zinc ion binding; P:protein repair; F:peptide-methionine (R)-S-oxide reductase activity; P:oxidation-reduction process","EC:1.8.4.12","Peptide-methionine (R)-S-oxide reductase",NA,NA,NA
"56","NIS_RS00280",5622.20770702652,1.205910099126,0.300220779564463,4.01674428024418,5.90076941792176e-05,0.000345840953162811,49,"  ribonucleoside-diphosphate reductase subunit alpha","  WP_011979596.1"," transl_table 11"," ","NIS_0053","ribonucleoside-diphosphate reductase subunit alpha","F:GO:0004748; F:GO:0005524; P:GO:0006260; P:GO:0055114","F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor; F:ATP binding; P:DNA replication; P:oxidation-reduction process","EC:1.17.4; EC:1.17.4.1","Acting on CH or CH(2) groups; Ribonucleoside-diphosphate reductase",NA,NA,NA
"60","NIS_RS00300",898.803261542739,1.12873471314004,0.318608457725053,3.54270166335036,0.000396050477219282,0.00178718905551571,1516,"  23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN","  WP_011979600.1"," transl_table 11","  rlmN","NIS_0057","23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN","F:GO:0000049; F:GO:0002935; C:GO:0005737; F:GO:0019843; P:GO:0030488; F:GO:0046872; F:GO:0051539; F:GO:0070040; P:GO:0070475","F:tRNA binding; F:tRNA (adenine-C2-)-methyltransferase activity; C:cytoplasm; F:rRNA binding; P:tRNA methylation; F:metal ion binding; F:4 iron, 4 sulfur cluster binding; F:rRNA (adenine-C2-)-methyltransferase activity; P:rRNA base methylation","EC:2.1.1.192","23S rRNA (adenine(2503)-C(2))-methyltransferase",NA,NA,NA
"61","NIS_RS00305",645.509809160741,1.52592332124864,0.296082379690741,5.15371202718133,2.55380022506418e-07,3.14228462475289e-06,53,"  purine-nucleoside phosphorylase","  WP_011979601.1"," transl_table 11"," ","NIS_0058","purine-nucleoside phosphorylase","F:GO:0003824; P:GO:0009116","F:catalytic activity; P:nucleoside metabolic process","","",NA,NA,NA
"65","NIS_RS00325",8122.6223434437,1.95873503648977,0.286957748590717,6.82586564088037,8.73966982340626e-12,4.55612787372837e-10,55,"  ribonuclease J","  WP_011979605.1"," transl_table 11"," ","NIS_0062","ribonuclease J","F:GO:0003723; F:GO:0004521; F:GO:0004534; C:GO:0005737; P:GO:0006364; F:GO:0008270; P:GO:0090502; P:GO:0090503","F:RNA binding; F:endoribonuclease activity; F:5'-3' exoribonuclease activity; C:cytoplasm; P:rRNA processing; F:zinc ion binding; P:RNA phosphodiester bond hydrolysis, endonucleolytic; P:RNA phosphodiester bond hydrolysis, exonucleolytic","EC:3.1.13; EC:3.1.15","Acting on ester bonds; Acting on ester bonds",NA,NA,NA
"66","NIS_RS00330",2010.2496639255,2.0953400920102,0.305485299121126,6.85905376801584,6.93181475657945e-12,3.81442362021775e-10,56,"  KpsF/GutQ family sugar-phosphate isomerase","  WP_011979606.1"," transl_table 11"," ","NIS_0063","KpsF/GutQ family sugar-phosphate isomerase","P:GO:0005975; F:GO:0019146; F:GO:0046872; F:GO:0097367; P:GO:1901135","P:carbohydrate metabolic process; F:arabinose-5-phosphate isomerase activity; F:metal ion binding; F:carbohydrate derivative binding; P:carbohydrate derivative metabolic process","EC:5.3.1.13","Arabinose-5-phosphate isomerase",NA,NA,NA
"67","NIS_RS00335",1131.30777214041,1.73123939703301,0.307103265646187,5.63732005060332,1.7271693426547e-08,3.11047497072633e-07,57,"  rRNA pseudouridine synthase","  WP_011979607.1"," transl_table 11"," ","NIS_0064","rRNA pseudouridine synthase","P:GO:0001522; F:GO:0003723; F:GO:0009982; F:GO:0016829","P:pseudouridine synthesis; F:RNA binding; F:pseudouridine synthase activity; F:lyase activity","","",NA,NA,NA
"69","NIS_RS00345",2274.45965474733,1.87259338847091,0.300921784295797,6.22285752044527,4.88180682695664e-10,1.38155133202873e-08,59,"  replication-associated recombination protein A","  WP_011979609.1"," transl_table 11"," ","NIS_0066","replication-associated recombination protein A","F:GO:0003677; P:GO:0006260; P:GO:0006281; P:GO:0006310; F:GO:0009378; P:GO:0032508","F:DNA binding; P:DNA replication; P:DNA repair; P:DNA recombination; F:four-way junction helicase activity; P:DNA duplex unwinding","EC:3.6.1.3; EC:3.6.4.12; EC:3.6.1.15","Adenosinetriphosphatase; DNA helicase; Nucleoside-triphosphate phosphatase",NA,NA,NA
